City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Hambantota,LK,2022-04-27 01:50:18,6.1241,81.1185,79.14,100,20,3.44
281,Gat,IL,2022-04-27 01:50:18,31.61,34.7642,71.4,78,63,3.58
282,Fortuna,US,2022-04-27 01:50:19,40.5982,-124.1573,54.86,73,20,13.8
283,Samarai,PG,2022-04-27 01:50:19,-10.6167,150.6667,83.98,72,97,1.83
284,Baculin,PH,2022-04-27 01:50:20,7.4525,126.5842,83.75,76,95,4.16
285,Cockburn Town,TC,2022-04-27 01:50:20,21.4612,-71.1419,76.69,69,0,17.92
286,Zyryanovsk,KZ,2022-04-27 01:50:21,49.7386,84.2719,43.3,66,24,2.77
287,Dumbraveni,RO,2022-04-27 01:50:21,46.2333,24.5667,45.48,92,27,1.1
288,Lebedinyy,RU,2022-04-27 01:50:22,58.5167,125.5167,27.28,72,98,4.25
289,Ihtiman,BG,2022-04-27 01:50:22,42.4333,23.8167,48.16,97,27,1.74
290,Amboasary,MG,2022-04-27 01:50:22,-25.0333,46.3833,74.1,89,100,4.23
291,Nyurba,RU,2022-04-27 01:50:23,63.2842,118.3319,31.39,76,62,3.74
292,Voi,KE,2022-04-27 01:50:23,-3.3945,38.563,71.2,85,100,7.63
